Date,Timestamp,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,
2020-01-15,09:13:35.3357,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:37.3982,KeyDown,H,0,0,0,CorrectKey,H,K,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:37.3982,KeyDown,K,0,0,1,CorrectKey,H,K,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:37.7034,KeyDown,J,0.3051746,0.3051746,2,CorrectKey,J,None,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:37.7365,KeyDown,L,0.3391733,0.0339987,3,CorrectKey,L,None,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:37.7404,KeySequenceStopped,NA,0.356186,0.0170127,NA,NA,NA,NA,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:37.8232,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:38.0078,KeyDown,H,0,0,0,CorrectKey,H,K,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:38.0765,KeyDown,K,0.067804,0.067804,1,CorrectKey,H,K,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:38.3305,KeyDown,J,0.3227301,0.2549261,2,CorrectKey,J,None,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:38.3315,KeyDown,L,0.3227301,0,3,CorrectKey,L,None,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:38.3335,KeySequenceStopped,NA,0.3396937,0.0169636,NA,NA,NA,NA,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:38.5858,KeyDown,H,0,0,0,CorrectKey,H,K,2,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:38.6709,KeyDown,K,0.0850552,0.0850552,1,CorrectKey,H,K,2,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-15,09:13:39.0632,KeySequenceStopped,NA,0.4936635,0.4086082,NA,NA,NA,NA,2,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
