Date,Timestamp,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,
2020-01-14,15:46:22.9725,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:46:25.4611,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:46:26.2310,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:46:26.2340,DecisionAcceptAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,1,1,0.25,1,1.21862,
2020-01-14,15:46:26.2390,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,1,1,0.25,1,1.21862,
2020-01-14,15:46:25.5628,KeyDown,H,0,0,0,CorrectKey,H,K,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,1,1,0.25,1,1.21862,
2020-01-14,15:46:25.5638,KeyDown,K,0,0,1,CorrectKey,H,K,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,1,1,0.25,1,1.21862,
2020-01-14,15:46:25.9189,KeyDown,J,0.3578264,0.3578264,2,CorrectKey,J,None,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,1,1,0.25,1,1.21862,
2020-01-14,15:46:26.2250,KeyDown,L,0.6630327,0.3052063,3,CorrectKey,L,None,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,1,1,0.25,1,1.21862,
2020-01-14,15:46:26.2280,KeySequenceStopped,NA,0.6799911,0.0169585,NA,NA,NA,NA,0,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,1,1,0.25,1,1.21862,
