Date,Timestamp,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,
2020-01-14,15:29:15.3360,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:17.8227,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:18.0758,KeyDown,H,0,0,0,CorrectKey,H,K,0,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:18.0758,KeyDown,K,0,0,1,CorrectKey,H,K,0,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:18.4693,KeySequenceStopped,NA,0.4084561,0.4084561,NA,NA,NA,NA,0,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:18.8926,KeyDown,J,0,0,NA,WrongKey,H,K,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:19.0800,KeyDown,L,0.1864915,0.1864915,NA,WrongKey,H,K,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:19.4700,KeySequenceStopped,NA,0.5934154,0.4069239,NA,NA,NA,NA,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:19.8267,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,NA,1,0.25,NA,NA,
2020-01-14,15:29:19.8277,DecisionRejectAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,NA,0,1,0.25,0,0.8785138,
2020-01-14,15:29:19.8307,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:22.3375,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:22.5240,KeyDown,H,0,0,0,CorrectKey,H,K,2,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:22.5249,KeyDown,K,0,0,1,CorrectKey,H,K,2,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:22.9156,KeySequenceStopped,NA,0.4074676,0.4074676,NA,NA,NA,NA,2,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:23.0842,KeyDown,J,0,0,NA,WrongKey,H,K,3,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:23.3387,KeyDown,L,0.2544846,0.2544846,NA,WrongKey,H,K,3,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:23.7295,KeySequenceStopped,NA,0.6613979,0.4069133,NA,NA,NA,NA,3,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:24.3407,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.8785138,
2020-01-14,15:29:24.3407,DecisionRejectAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.9381971,
2020-01-14,15:29:24.3417,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.9381971,
2020-01-14,15:29:26.8534,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.9381971,
2020-01-14,15:29:27.5696,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0,1,0.25,0,0.9381971,
2020-01-14,15:29:27.5706,DecisionAcceptAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:27.5726,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:26.9213,KeyDown,H,0,0,0,CorrectKey,H,K,4,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:26.9223,KeyDown,K,0,0,1,CorrectKey,H,K,4,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:27.2097,KeyDown,J,0.2884686,0.2884686,2,CorrectKey,J,None,4,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:27.5666,KeyDown,L,0.6452762,0.3568076,3,CorrectKey,L,None,4,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:27.5696,KeySequenceStopped,NA,0.6622366,0.0169604,NA,NA,NA,NA,4,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:30.0800,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:30.3343,KeyDown,H,0,0,0,CorrectKey,H,K,5,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:30.3353,KeyDown,K,0,0,1,CorrectKey,H,K,5,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:30.7261,KeySequenceStopped,NA,0.4080056,0.4080056,NA,NA,NA,NA,5,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:30.7421,KeyDown,J,0.4080056,0.4080056,NA,WrongKey,H,K,6,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:31.1335,KeySequenceStopped,NA,0.8154731,0.4074675,NA,NA,NA,NA,6,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:31.1495,KeyDown,L,0.8154731,0.4074675,NA,WrongKey,H,K,7,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:31.5405,KeySequenceStopped,NA,1.222402,0.4069292,NA,NA,NA,NA,7,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:32.0830,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.3333333,1,0.25,0.3333333,1.035068,
2020-01-14,15:29:32.0830,DecisionRejectAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.25,1,0.25,0.25,0.9810477,
2020-01-14,15:29:32.0840,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.25,1,0.25,0.25,0.9810477,
2020-01-14,15:29:34.5959,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.25,1,0.25,0.25,0.9810477,
2020-01-14,15:29:34.8503,KeyDown,H,0,0,0,CorrectKey,H,K,8,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.25,1,0.25,0.25,0.9810477,
2020-01-14,15:29:34.8512,KeyDown,K,0,0,1,CorrectKey,H,K,8,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.25,1,0.25,0.25,0.9810477,
2020-01-14,15:29:35.2422,KeySequenceStopped,NA,0.4079206,0.4079206,NA,NA,NA,NA,8,Correct,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.25,1,0.25,0.25,0.9810477,
2020-01-14,15:29:35.5990,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.25,1,0.25,0.25,0.9810477,
2020-01-14,15:29:35.5990,DecisionFabInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.2,1,0.25,0.2,0.9998577,
2020-01-14,15:29:35.6000,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.2,1,0.25,0.2,0.9998577,
2020-01-14,15:29:35.2921,KeyDown,J,0,0,NA,WrongKey,H,K,9,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.2,1,0.25,0.2,0.9998577,
2020-01-14,15:29:35.6490,KeyDown,L,0.3567763,0.3567763,NA,WrongKey,H,K,9,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.2,1,0.25,0.2,0.9998577,
2020-01-14,15:29:36.0455,KeySequenceStopped,NA,0.7654292,0.408653,NA,NA,NA,NA,9,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0.3,0.4,0.4,20,2.5,2,Running,MeetDesignGoals,0.2,1,0.25,0.2,0.9998577,
