Date,Timestamp,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,,,,,,,
2020-01-14,15:34:06.6770,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:09.1678,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:09.3523,KeyDown,T,0,0,0,CorrectKey,T,None,0,Correct,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:09.7443,KeySequenceStopped,NA,0.4069039,0.4069039,NA,NA,NA,NA,0,Correct,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:09.8106,KeyDown,Y,0,0,NA,WrongKey,T,None,1,Mistyped,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:09.8106,KeyDown,I,0,0,1,CorrectKey,Y,I,1,Mistyped,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:10.0649,KeyDown,U,0.2547371,0.2547371,NA,WrongKey,Y,I,1,Mistyped,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:10.4568,KeySequenceStopped,NA,0.6616502,0.4069131,NA,NA,NA,NA,1,Mistyped,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:11.1686,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.04,20,2.05,2,Running,NA,NA,1,0.25,NA,NA,,,,,,,
2020-01-14,15:34:11.1696,DecisionRejectAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.04,20,2.05,2,Running,NA,0,1,0.25,0,1.008.918,,,,,,,
2020-01-14,15:34:11.1726,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.04,20,2.05,2,Running,MeetDesignGoals,0,1,0.25,0,1.008.918,,,,,,,
2020-01-14,15:34:13.6784,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.04,20,2.05,2,Running,MeetDesignGoals,0,1,0.25,0,1.008.918,,,,,,,
2020-01-14,15:34:13.8988,KeyDown,T,0,0,0,CorrectKey,T,None,2,Correct,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,MeetDesignGoals,0,1,0.25,0,1.008.918,,,,,,,
2020-01-14,15:34:14.2897,KeySequenceStopped,NA,0.4069247,0.4069247,NA,NA,NA,NA,2,Correct,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,MeetDesignGoals,0,1,0.25,0,1.008.918,,,,,,,
2020-01-14,15:34:14.3751,KeyDown,I,0,0,NA,WrongKey,T,None,3,Mistyped,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,MeetDesignGoals,0,1,0.25,0,1.008.918,,,,,,,
2020-01-14,15:34:14.4250,KeyDown,Y,0.0514971,0.0514971,1,CorrectKey,Y,I,3,Mistyped,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,MeetDesignGoals,0,1,0.25,0,1.008.918,,,,,,,
2020-01-14,15:34:14.7142,KeyDown,U,0.3397097,0.2882126,NA,WrongKey,Y,I,3,Mistyped,Slow,Rejected,TYUI,ClosedByDeadzone,0,0.04,0.04,20,2.05,2,Running,MeetDesignGoals,0,1,0.25,0,1.008.918,,,,,,,
